Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 16plex_N	Razor + unique peptides 16plex_N	Unique peptides 16plex_N	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Identification type 16plex_N	Reporter intensity corrected 1 16plex_N	Reporter intensity corrected 2 16plex_N	Reporter intensity corrected 3 16plex_N	Reporter intensity corrected 4 16plex_N	Reporter intensity corrected 5 16plex_N	Reporter intensity corrected 6 16plex_N	Reporter intensity corrected 7 16plex_N	Reporter intensity corrected 8 16plex_N	Reporter intensity corrected 9 16plex_N	Reporter intensity corrected 10 16plex_N	Reporter intensity corrected 11 16plex_N	Reporter intensity corrected 12 16plex_N	Reporter intensity corrected 13 16plex_N	Reporter intensity corrected 14 16plex_N	Reporter intensity corrected 15 16plex_N	Reporter intensity corrected 16 16plex_N	Reporter intensity 1 16plex_N	Reporter intensity 2 16plex_N	Reporter intensity 3 16plex_N	Reporter intensity 4 16plex_N	Reporter intensity 5 16plex_N	Reporter intensity 6 16plex_N	Reporter intensity 7 16plex_N	Reporter intensity 8 16plex_N	Reporter intensity 9 16plex_N	Reporter intensity 10 16plex_N	Reporter intensity 11 16plex_N	Reporter intensity 12 16plex_N	Reporter intensity 13 16plex_N	Reporter intensity 14 16plex_N	Reporter intensity 15 16plex_N	Reporter intensity 16 16plex_N	Reporter intensity count 1 16plex_N	Reporter intensity count 2 16plex_N	Reporter intensity count 3 16plex_N	Reporter intensity count 4 16plex_N	Reporter intensity count 5 16plex_N	Reporter intensity count 6 16plex_N	Reporter intensity count 7 16plex_N	Reporter intensity count 8 16plex_N	Reporter intensity count 9 16plex_N	Reporter intensity count 10 16plex_N	Reporter intensity count 11 16plex_N	Reporter intensity count 12 16plex_N	Reporter intensity count 13 16plex_N	Reporter intensity count 14 16plex_N	Reporter intensity count 15 16plex_N	Reporter intensity count 16 16plex_N	Sequence coverage 16plex_N [%]	Intensity	Intensity 16plex_N	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
YPL109C	YPL109C	3	3	3	sp|YPL109C|dubious1019_YEAST NCSL01000005.1 423453-425285 ORF Uncharacterized UbiB family protein; contains transmembrane domain and mitochondrial targeting sequence; the authentic, non-tagged protein is detected in highly purified mitochondria in high-thr	1	3	3	3	3	3	3	6.6	6.6	6.6	70.884	610	610	9.75								1	1	1		1	0	9.0592	By MS/MS	897890	1145700	616550	605410	611250	827150	932730	555370	612160	856050	734250	694000	511500	645290	585140	1000200	897890	1145700	616550	605410	611250	827150	932730	555370	612160	856050	734250	694000	511500	645290	585140	1000200	4	4	3	4	3	4	4	3	4	4	4	4	3	4	3	4	6.6	194840000	194840000	4				3512	11319;27093;27118	True;True;True	11713;28029;28054	19974;19975;47001;47048	17418;17419;41024;41068	17418;41024;41068					-1
YPL110C	YPL110C	22	22	22	sp|YPL110C|GDE1_YEAST NCSL01000005.1 426103-429774 ORF Verified Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may inter	1	22	22	22	22	22	22	23.3	23.3	23.3	137.98	1223	1223	6.97	2		3	4	5	3	1	1	2	6	5	1	0	206.54	By MS/MS	2998200	3996700	2205400	2236500	3244100	2997300	3598600	2784700	2946600	3230600	4765500	4834300	3595900	3671000	2958000	6493900	2998200	3996700	2205400	2236500	3244100	2997300	3598600	2784700	2946600	3230600	4765500	4834300	3595900	3671000	2958000	6493900	19	21	20	19	21	21	24	24	23	23	24	24	24	24	24	25	23.3	3236000000	3236000000	29				3513	5072;5143;6563;8434;9472;10856;11427;11428;11569;11776;14212;15902;16103;19492;23909;23997;24735;25277;25717;27474;28638;30353	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	5248;5328;5329;6783;8712;9811;11243;11829;11830;11978;12189;14680;16423;16629;20211;24736;24828;25598;26155;26607;28420;29630;31407	8963;8964;9107;9108;11472;11473;14766;16793;19227;20168;20169;20170;20171;20172;20424;20425;20758;20759;24685;27614;27615;27952;27953;34021;41443;41597;42886;43814;44589;44590;47657;49943;53106	7813;7947;7948;10046;12854;14630;16755;17584;17585;17586;17587;17796;17797;18096;21603;24158;24159;24438;24439;29680;29681;36168;36298;37419;38231;38930;41593;43561;46258	7813;7948;10046;12854;14630;16755;17584;17586;17797;18096;21603;24158;24439;29681;36168;36298;37419;38231;38930;41593;43561;46258					-1
YPL111W	YPL111W	23	23	23	sp|YPL111W|CAR1_YEAST NCSL01000005.1 429897-430898 ORF Verified Arginase, catabolizes arginine to ornithine and urea; expression responds to both induction by arginine and nitrogen catabolite repression; disruption decreases production of carcinogen ethyl 	1	23	23	23	23	23	23	59.2	59.2	59.2	35.619	333	333	3.63	15	18	14	7	9	4	1	2			1	4	0	226.34	By MS/MS	17789000	15249000	16305000	12037000	14966000	19623000	18688000	16462000	16276000	20675000	18687000	21616000	23968000	25228000	15700000	22659000	17789000	15249000	16305000	12037000	14966000	19623000	18688000	16462000	16276000	20675000	18687000	21616000	23968000	25228000	15700000	22659000	39	41	47	48	47	49	45	44	42	49	51	50	54	49	48	50	59.2	100260000000	100260000000	56				3514	308;309;2386;2631;3808;3902;3977;3978;4422;5047;9746;10324;13210;15174;17730;18020;18039;20025;22048;22049;30453;30454;30758	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	317;318;2487;2488;2742;3952;3953;4050;4128;4129;4583;5223;10099;10699;13649;15674;18302;18620;18621;18642;18643;20767;22843;22844;31509;31510;31823	560;561;562;563;4627;4628;4629;4630;4631;4632;5117;5118;6991;6992;6993;6994;6995;6996;6997;6998;6999;7147;7148;7254;7255;7256;7913;8919;8920;8921;8922;8923;8924;8925;8926;8927;17308;17309;18356;18357;23091;23092;23093;23094;26385;30817;30818;30819;30820;30821;31367;31368;31369;31370;31401;31402;31403;31404;31405;31406;34858;34859;38229;38230;38231;38232;53276;53277;53278;53279;53280;53281;53282;53283;53880	483;484;485;3934;3935;3936;3937;4346;6021;6022;6023;6024;6025;6026;6027;6166;6262;6263;6264;6880;7776;7777;7778;7779;7780;7781;15069;15070;15071;16001;16002;20165;23088;26845;26846;26847;26848;27324;27325;27326;27327;27353;27354;27355;27356;27357;30431;30432;33402;33403;33404;46408;46409;46410;46411;46932	484;485;3935;4346;6025;6166;6263;6264;6880;7779;15070;16001;20165;23088;26846;27327;27356;30431;33402;33404;46408;46411;46932	1127;1128;1129;1130		1;71;83;252		-1
YPL112C	YPL112C	2	2	2	sp|YPL112C|PEX25_YEAST NCSL01000039.1 93147-94331 ORF Verified Peripheral peroxisomal membrane peroxin; required for the regulation of peroxisome size and maintenance, recruits GTPase Rho1p to peroxisomes, induced by oleate, interacts with Pex27p; PEX25 ha	1	2	2	2	2	2	2	3.6	3.6	3.6	44.964	394	394	9.4					1					2	2		0.0064716	2.0755	By MS/MS	745450	683310	330510	312590	405170	541580	556590	380910	446740	468190	588740	504690	441140	536730	303320	783740	745450	683310	330510	312590	405170	541580	556590	380910	446740	468190	588740	504690	441140	536730	303320	783740	3	4	3	3	4	4	4	4	4	4	4	4	4	4	3	4	3.6	1514800000	1514800000	4				3515	23929;30511	True;True	24757;31569	41478;53376;53377;53378;53379	36195;46496;46497;46498	36195;46498					-1
YPL113C	YPL113C	13	13	13	sp|YPL113C|dubious1018_YEAST NCSL01000039.1 91664-92854 ORF Verified Glyoxylate reductase; acts on glyoxylate and hydroxypyruvate substrates; YPL113C is not an essential gene GN=dubious1018 PE=1 SV=1	1	13	13	13	13	13	13	35.1	35.1	35.1	44.982	396	396	7.05	1	2	1	2	1	1	2	3	3	1	2	2	0	161.78	By MS/MS	3762500	5327600	2314400	2580300	4669800	4379500	3906700	3206400	3780100	4009700	5328900	5330600	5267600	5643600	3540900	7396500	3762500	5327600	2314400	2580300	4669800	4379500	3906700	3206400	3780100	4009700	5328900	5330600	5267600	5643600	3540900	7396500	7	11	10	13	13	11	13	12	11	12	13	14	14	12	13	13	35.1	4456500000	4456500000	17				3516	9200;9201;12371;18200;18810;18811;21804;21805;24091;27272;27273;28599;29920	True;True;True;True;True;True;True;True;True;True;True;True;True	9522;9523;12794;18825;18826;19514;19515;22593;22594;24925;28212;28213;29584;30964	16265;16266;21696;31736;31737;31738;31739;31740;32939;32940;37834;37835;37836;41750;47303;47304;47305;49836;49837;52329;52330	14158;14159;18918;27635;27636;27637;27638;28705;28706;33043;33044;33045;36431;41291;41292;43470;45587	14158;14159;18918;27638;28705;28706;33043;33045;36431;41291;41292;43470;45587	1131		1		-1
YPL115C	YPL115C	1	1	1	sp|YPL115C|BEM3_YEAST NCSL01000039.1 87811-91197 ORF Verified Rho GTPase activating protein (RhoGAP); involved in control of the cytoskeleton organization; targets the essential Rho-GTPase Cdc42p, which controls establishment and maintenance of cell polari	1	1	1	1	1	1	1	1	1	1	124.95	1128	1128	6						1							0.0078387	1.988	By MS/MS	27410	72404	36020	25059	44021	50641	65589	51699	44807	47685	53933	53700	44850	46623	30424	62418	27410	72404	36020	25059	44021	50641	65589	51699	44807	47685	53933	53700	44850	46623	30424	62418	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1				3517	12897	True	13331	22607	19730	19730					-1
YPL116W	YPL116W	7	7	6	sp|YPL116W|HOS3_YEAST NCSL01000039.1 85316-87409 ORF Verified Trichostatin A-insensitive homodimeric histone deacetylase (HDAC); specificity in vitro for histones H3, H4, H2A, and H2B; similar to Hda1p, Rpd3p, Hos1p, and Hos2p; deletion results in increase	1	7	7	6	7	7	6	12.3	12.3	11.3	79.211	697	697	6.1	2	1	1	1					1	3	1		0	117.29	By MS/MS	395860	371920	353760	225330	309420	428090	372100	231250	291480	369010	425600	384770	385730	392550	330060	508000	395860	371920	353760	225330	309420	428090	372100	231250	291480	369010	425600	384770	385730	392550	330060	508000	6	6	6	7	6	6	6	6	6	6	6	6	6	7	7	6	12.3	310640000	310640000	10				3518	31;1499;2261;14549;15931;21344;29046	True;True;True;True;True;True;True	33;1571;2356;15032;16454;22121;30049	53;2877;4320;25307;25308;27676;37075;37076;37077;50683	48;2424;3674;22150;24209;24210;32378;32379;32380;44185	48;2424;3674;22150;24210;32379;44185					-1
YPL117C	YPL117C	15	15	15	sp|YPL117C|IDI1_YEAST NCSL01000039.1 83575-84441 ORF Verified Isopentenyl diphosphate:dimethylallyl diphosphate isomerase; catalyzes an essential activation step in the isoprenoid biosynthetic pathway; required for viability; isopentenyl diphosphate:dimeth	1	15	15	15	15	15	15	56.9	56.9	56.9	33.364	288	288	7			2	4	4	2	2	3	2	2	3	1	0	87.412	By MS/MS	4301000	4951300	4625600	4728900	5101300	6041200	5874300	4883100	4348000	5442000	5199800	5058000	6005100	5594100	4388900	5749600	4301000	4951300	4625600	4728900	5101300	6041200	5874300	4883100	4348000	5442000	5199800	5058000	6005100	5594100	4388900	5749600	17	18	19	18	20	19	20	18	18	21	17	21	20	18	18	16	56.9	6081500000	6081500000	24				3519	568;3086;5211;8281;10853;11605;12285;13417;13418;14165;16214;26923;26924;28068;30460	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	594;3206;5401;8556;11240;12016;12707;13863;13864;14632;16744;27846;27847;29039;31517	1083;1084;1085;5824;5825;9217;14502;14503;14504;14505;19222;20481;21565;21566;23391;23392;23393;24603;28154;46709;46710;46711;48851;53295;53296	907;908;909;910;4979;4980;8052;8053;12632;12633;16750;16751;17844;18800;18801;20450;20451;21525;24606;40777;40778;40779;42630;46422	907;4980;8052;12632;16750;17844;18801;20450;20451;21525;24606;40777;40779;42630;46422					-1
YPL118W	YPL118W	5	5	5	sp|YPL118W|MRP51_YEAST NCSL01000039.1 82340-83374 ORF Verified Mitochondrial ribosomal protein of the small subunit; MRP51 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5-untranslated leader sequences GN=MRP51 PE=1 SV=1	1	5	5	5	5	5	5	18.3	18.3	18.3	39.326	344	344	8.17			2							2	1	1	0	7.3768	By MS/MS	454220	352050	337070	357860	503500	350570	490070	488570	377670	383730	456350	293200	411100	267860	508810	619660	454220	352050	337070	357860	503500	350570	490070	488570	377670	383730	456350	293200	411100	267860	508810	619660	4	3	4	5	4	3	4	4	3	3	3	3	4	3	4	4	18.3	728880000	728880000	5				3520	6827;6927;8000;10274;26618	True;True;True;True;True	7055;7156;8266;10648;27532	11908;12059;13981;18263;46201;46202	10417;10546;12196;15927;40336	10417;10546;12196;15927;40336					-1
YPL119C	YPL119C	32	32	25	sp|YPL119C|DBP1_YEAST NCSL01000039.1 80121-81974 ORF Verified Putative ATP-dependent RNA helicase of the DEAD-box protein family; mutants show reduced stability of the 40S ribosomal subunit scanning through 5 untranslated regions of mRNAs; protein abundan	1	32	32	25	32	32	25	52.2	52.2	46.5	67.921	617	617	4.59	12	10	4	3	6	5	6	5	4	1	2		0	299.76	By MS/MS	5535800	5483200	3758700	3451100	4378400	4593400	4870200	4698600	4516200	4836300	5288500	4907300	5353800	5940300	3825100	7956100	5535800	5483200	3758700	3451100	4378400	4593400	4870200	4698600	4516200	4836300	5288500	4907300	5353800	5940300	3825100	7956100	33	37	32	35	34	38	38	36	33	39	39	39	39	41	36	41	52.2	14975000000	14975000000	55				3521	627;1647;2103;3087;3481;4820;4821;5682;7617;7618;7993;8509;8607;8608;8958;14563;17857;18269;20183;20748;21779;21807;22814;23427;25641;29558;29586;29587;29714;31077;31078;31293	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	654;1730;2197;3207;3609;4991;4992;5884;7871;7872;8258;8792;8793;8894;8895;9269;9270;15047;18433;18434;18907;20927;21513;22568;22597;22598;23619;24242;26530;30584;30613;30614;30743;32151;32152;32378	1196;3171;3172;3173;4014;4015;5826;6473;6474;8536;8537;8538;9971;9972;13335;13336;13337;13338;13964;13965;14912;14913;15089;15090;15091;15800;15801;15802;25337;25338;25339;25340;31045;31046;31047;31870;31871;35099;36083;37793;37839;37840;37841;39472;40537;44451;44452;44453;51629;51675;51676;51677;51887;54474;54475;54476;54858;54859	1001;2689;2690;2691;3399;3400;4981;5543;5544;7442;7443;7444;7445;8726;8727;11626;11627;11628;12183;12977;12978;13126;13127;13128;13129;13746;13747;13748;22176;22177;27045;27046;27047;27048;27761;27762;30658;31492;33005;33048;33049;33050;34448;35375;38805;38806;45014;45047;45048;45049;45050;45223;47446;47447;47775	1001;2690;3399;4981;5543;7443;7445;8726;11627;11628;12183;12978;13126;13129;13748;22176;27045;27761;30658;31492;33005;33048;34448;35375;38805;45014;45047;45048;45223;47446;47447;47775	1132;1133;1134;1135;1136		195;351;423;433;527		-1
YPL120W	YPL120W	5	5	5	sp|YPL120W|VPS30_YEAST NCSL01000039.1 77783-79456 ORF Verified Subunit of phosphatidylinositol (PtdIns) 3-kinase complexes I and II; Complex I is essential in autophagy, Complex II is required for vacuolar protein sorting; required for overflow degradation	1	5	5	5	5	5	5	12.2	12.2	12.2	63.178	557	557	8.17						1	1	2	1		1		0	19.123	By MS/MS	375380	418380	208950	339070	289910	402580	563330	406010	371070	460190	598910	596950	658750	556710	378930	878950	375380	418380	208950	339070	289910	402580	563330	406010	371070	460190	598910	596950	658750	556710	378930	878950	3	5	3	3	4	5	3	3	3	3	4	3	4	4	4	5	12.2	809670000	809670000	5				3522	2842;14264;14931;15768;16916	True;True;True;True;True	2956;14733;15423;16285;17468	5433;24760;25959;27399;29339;29340	4636;21674;22709;23977;25614	4636;21674;22709;23977;25614					-1
YPL121C	YPL121C	1	1	1	sp|YPL121C|MEI5_YEAST NCSL01000039.1 76676-77341 ORF Verified Meiosis-specific protein involved in meiotic recombination; involved in DMC1-dependent meiotic recombination; forms heterodimer with Sae3p; proposed to be an assembly factor for Dmc1p GN=MEI5 PE	1	1	1	1	1	1	1	5	5	5	26.332	221	221	2.5		1	1										0	6.4184	By MS/MS	30739	26773	107030	147980	327690	428610	214990	146880	17877	9340.8	7166.4	3511	25320	20705	5083.4	0	30739	26773	107030	147980	327690	428610	214990	146880	17877	9340.8	7166.4	3511	25320	20705	5083.4	0	2	2	3	3	3	3	3	3	2	1	1	1	2	2	1	0	5	55846000	55846000	3				3523	20773	True	21538	36124;36125	31528;31529;31530	31529					-1
YPL123C	YPL123C	8	8	8	sp|YPL123C|RNY1_YEAST NCSL01000039.1 73356-74660 ORF Verified Vacuolar RNase of the T(2) family; relocalizes to the cytosol where it cleaves tRNAs upon oxidative or stationary phase stress; required for tRNA-specific translational pausing suring oxidative 	1	8	8	8	8	8	8	24.9	24.9	24.9	50.167	434	434	8.4			1				3	2	1		1	2	0	52.387	By MS/MS	504200	656920	392960	299810	409170	423610	595720	394310	328130	451320	505380	562560	444110	577460	267700	674140	504200	656920	392960	299810	409170	423610	595720	394310	328130	451320	505380	562560	444110	577460	267700	674140	7	8	5	7	7	7	6	6	5	7	7	6	6	9	5	7	24.9	1281600000	1281600000	10				3524	2511;9070;13429;19171;19307;20002;24628;27049	True;True;True;True;True;True;True;True	2622;9385;9386;13876;19886;20024;20743;25485;27984	4885;15998;15999;23406;33502;33743;33744;34819;42693;46928	4148;13925;13926;20463;29219;29427;29428;30395;37250;40964	4148;13925;20463;29219;29428;30395;37250;40964	1137		264		-1
YPL124W	YPL124W	11	11	11	sp|YPL124W|SPC29_YEAST NCSL01000039.1 72470-73231 ORF Verified Inner plaque spindle pole body (SPB) component; links the central plaque component Spc42p to the inner plaque component Spc110p; required for SPB duplication GN=SPC29 PE=1 SV=1	1	11	11	11	11	11	11	47.4	47.4	47.4	29.276	253	253	5.4	3	1	3	1		1	1	2		1		2	0	70.497	By MS/MS	1144100	1571900	914460	908210	1470100	1632100	1016800	899710	1225800	1400000	1939000	1402900	2317700	2777200	1262200	2300900	1144100	1571900	914460	908210	1470100	1632100	1016800	899710	1225800	1400000	1939000	1402900	2317700	2777200	1262200	2300900	9	12	10	9	12	13	10	11	12	13	12	13	14	14	13	13	47.4	2089700000	2089700000	14				3525	4436;5994;12627;14926;16546;16838;16839;17990;23342;24559;24866	True;True;True;True;True;True;True;True;True;True;True	4597;6200;13055;15418;17090;17390;17391;18583;18584;24159;25414;25735	7936;7937;10527;10528;22153;25950;28754;29211;29212;31305;31306;40418;42561;43166;43167	6903;9231;9232;19310;22702;25106;25507;25508;27275;27276;35256;37134;37657;37658	6903;9231;19310;22702;25106;25507;25508;27275;35256;37134;37657	1138		1		-1
YPL125W	YPL125W	5	5	5	sp|YPL125W|KAP120_YEAST NCSL01000039.1 69103-72201 ORF Verified Karyopherin responsible for the nuclear import of Rpf1p; Rpf1p is a ribosome maturation factor GN=KAP120 PE=1 SV=1	1	5	5	5	5	5	5	9	9	9	119.55	1032	1032	7.33			1			2	1			1		1	0	111.64	By MS/MS	65959	66825	11379	29987	39520	66602	28645	8632.5	26727	14227	40254	20436	9784.5	36124	12081	65986	65959	66825	11379	29987	39520	66602	28645	8632.5	26727	14227	40254	20436	9784.5	36124	12081	65986	2	3	1	2	3	2	2	1	1	1	2	1	1	2	2	3	9	261370000	261370000	6				3526	2054;14989;26961;27939;29319	True;True;True;True;True	2149;15483;27891;28904;30339	3941;26046;26047;46779;48590;51198	3335;22789;22790;40839;42411;44636	3335;22790;40839;42411;44636					-1
YPL126W	YPL126W	6	6	6	sp|YPL126W|NAN1_YEAST NCSL01000039.1 65931-68621 ORF Verified U3 snoRNP protein; component of the small (ribosomal) subunit (SSU) processosome containing U3 snoRNA; required for the biogenesis of18S rRNA GN=NAN1 PE=1 SV=1	1	6	6	6	6	6	6	7.9	7.9	7.9	101.34	896	896	8.88				1				2	1	2	2		0	55.588	By MS/MS	754170	821640	433450	354010	484650	654650	740860	349610	541000	599210	593760	650710	556640	543730	388440	916950	754170	821640	433450	354010	484650	654650	740860	349610	541000	599210	593760	650710	556640	543730	388440	916950	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	7.9	298410000	298410000	6				3527	3542;6137;9817;10934;15424;27765	True;True;True;True;True;True	3674;6346;10173;11321;15931;28726	6569;10771;17440;17441;19340;19341;26828;48283	5633;9441;15181;16853;23485;42127	5633;9441;15181;16853;23485;42127					-1
YPL127C	YPL127C	20	20	20	sp|YPL127C|HHO1_YEAST NCSL01000039.1 64549-65325 ORF Verified Histone H1, linker histone with roles in meiosis and sporulation; decreasing levels early in sporulation may promote meiosis, and increasing levels during sporulation facilitate compaction of sp	1	20	20	20	20	20	20	58.1	58.1	58.1	27.803	258	258	6.37	2	4	2		3	2	4	2	2	2	1	3	0	180.2	By MS/MS	1457700	2278900	2838700	2942400	3928900	3545500	2856500	3100400	1314400	4678800	2838500	2588000	4487700	3473500	5377100	3777800	1457700	2278900	2838700	2942400	3928900	3545500	2856500	3100400	1314400	4678800	2838500	2588000	4487700	3473500	5377100	3777800	14	19	19	20	22	24	22	21	17	23	20	22	24	21	21	24	58.1	6241900000	6241900000	25				3528	2058;2059;2880;4715;4927;4928;5252;5253;9340;12831;12878;15685;20585;24332;24333;24616;25710;27400;31449;31450	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2153;2154;2995;4886;5101;5102;5442;5443;9672;13265;13312;16201;21348;25184;25185;25472;26599;28343;32538;32539	3946;3947;5498;5499;8391;8705;8706;8707;9274;9275;9276;16508;16509;22509;22510;22578;27259;35790;35791;35792;42192;42193;42677;44576;47544;55133;55134	3340;3341;4692;4693;7296;7590;7591;8106;8107;8108;14384;14385;19637;19638;19704;23866;31248;31249;36804;36805;37236;38915;38916;41497;48019;48020	3340;3341;4692;7296;7590;7591;8106;8108;14385;19637;19704;23866;31249;36804;36805;37236;38915;41497;48019;48020		464;465;925		205;211;212	-1
YPL128C	YPL128C	3	3	3	sp|YPL128C|TBF1_YEAST NCSL01000039.1 62254-63942 ORF Verified Telobox-containing general regulatory factor; binds TTAGGG repeats within subtelomeric anti-silencing regions (STARs), blocking silent chromatin propagation; binds majority of snoRNA gene promot	1	3	3	3	3	3	3	7.8	7.8	7.8	62.809	562	562	11										1	1	1	0	29.652	By MS/MS	199570	164300	121590	90195	111030	167800	162540	138830	162260	164040	171710	134660	122680	53534	122920	201200	199570	164300	121590	90195	111030	167800	162540	138830	162260	164040	171710	134660	122680	53534	122920	201200	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	7.8	144120000	144120000	3				3529	8338;11231;24639	True;True;True	8613;11621;25497	14611;19823;42709	12712;17281;37265	12712;17281;37265					-1
YPL130W	YPL130W	5	5	5	sp|YPL130W|SPO19_YEAST NCSL01000039.1 60108-60779 ORF Verified Meiosis-specific prospore protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation; identified as a weak high-copy suppressor of the 	1	5	5	5	5	5	5	35.9	35.9	35.9	24.929	223	223	3.82	2	2		1	4	2							0	109.68	By MS/MS	78224	132670	27422	0	140230	125480	0	0	256210	414480	536400	400300	456280	577150	214980	618900	78224	132670	27422	0	140230	125480	0	0	256210	414480	536400	400300	456280	577150	214980	618900	2	4	1	0	4	5	0	0	4	5	6	5	6	6	5	5	35.9	7480800000	7480800000	8				3530	4017;23051;23890;24487;26686	True;True;True;True;True	4168;23862;23863;24717;25342;27604	7305;7306;39924;39925;39926;39927;41412;41413;42434;46321;46322	6309;34827;34828;34829;36140;36141;37023;40446	6309;34829;36140;37023;40446	1139		94		-1
YPL131W	YPL131W	17	17	17	sp|YPL131W|RPL5_YEAST NCSL01000039.1 58839-59732 ORF Verified Ribosomal 60S subunit protein L5; nascent Rpl5p is bound by specific chaperone Syo1p during translation; homologous to mammalian ribosomal protein L5 and bacterial L18; binds 5S rRNA and is requ	1	17	17	17	17	17	17	67.3	67.3	67.3	33.714	297	297	6.03	2	6	5	2	2		5	2	4	3	1	3	0	130.83	By MS/MS	7056400	6807200	5011400	6022000	6167500	8029800	7476600	7455700	6234300	7508500	6876900	7400200	8827900	8263700	6914900	9099900	7056400	6807200	5011400	6022000	6167500	8029800	7476600	7455700	6234300	7508500	6876900	7400200	8827900	8263700	6914900	9099900	22	26	23	26	21	27	27	26	25	29	27	29	27	27	24	28	67.3	49357000000	49357000000	27				3531	315;1095;5376;5377;6862;6987;7192;7193;7213;7581;7582;9573;10143;15141;24853;28343;30759	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	324;1143;5570;5571;7090;7217;7427;7428;7448;7835;7836;9915;10512;15640;25722;29321;31824	570;571;572;2142;2143;9456;9457;11960;11961;11962;11963;11964;12164;12165;12166;12167;12499;12500;12534;13245;13246;13247;16989;18016;18017;18018;26341;26342;43145;43146;43147;49363;49364;53881;53882	491;492;1802;8270;8271;10463;10464;10465;10631;10632;10920;10921;10951;11558;11559;11560;14786;15713;15714;15715;23047;23048;37642;43071;43072;46933;46934	491;1802;8270;8271;10463;10632;10920;10921;10951;11558;11559;14786;15715;23047;37642;43071;46933					-1
YPL132W	YPL132W	4	4	4	sp|YPL132W|COX11_YEAST NCSL01000039.1 57436-58338 ORF Verified Protein required for delivery of copper to Cox1p; mitochondrial inner membrane protein; association with mitochondrial ribosomes suggests that copper delivery may occur during translation of Co	1	4	4	4	4	4	4	15.3	15.3	15.3	34.044	300	300	5.8		1	1				1	1	1				0	35.728	By MS/MS	976650	1288300	1013600	1080000	1045000	1195200	1419200	1070100	858010	1268800	1197500	1167700	1259400	1170600	1101000	1478800	976650	1288300	1013600	1080000	1045000	1195200	1419200	1070100	858010	1268800	1197500	1167700	1259400	1170600	1101000	1478800	5	5	3	4	4	5	5	4	5	5	5	5	3	4	4	5	15.3	946080000	946080000	5				3532	5803;10045;12065;13038	True;True;True;True	6007;10410;12484;13473	10162;17843;17844;21223;22800	8897;15558;18491;19907;19908	8897;15558;18491;19907					-1
YPL133C	YPL133C	3	3	3	sp|YPL133C|RDS2_YEAST NCSL01000039.1 55609-56949 ORF Verified Transcription factor involved in regulating gluconeogenesis; also involved in the regulation of glyoxylate cycle genes; member of the zinc cluster family of proteins; confers resistance to ketoc	1	3	3	3	3	3	3	12.1	12.1	12.1	50.045	446	446	3.67		1		1	1								0	6.5806	By MS/MS	41001	45205	15446	26075	20906	55242	29708	14103	18102	43385	54445	45079	30578	14944	15442	36254	41001	45205	15446	26075	20906	55242	29708	14103	18102	43385	54445	45079	30578	14944	15442	36254	2	2	2	2	2	3	3	2	2	3	3	3	2	2	2	2	12.1	57900000	57900000	3				3533	3729;5293;24072	True;True;True	3869;5483;24907	6866;9329;41725	5907;8155;36406	5907;8155;36406					-1
